id,lat,lon
0,39.8720838888889,-75.2406630555556
1,37.72125,-122.221138888889
2,37.6188055555556,-122.375416666667
3,36.0800438888889,-115.152234722222
4,33.6366996111111,-84.427864
5,25.7953611111111,-80.2901158333333
6,39.0488375,-84.6678208333333
7,39.2976111111111,-94.7138888888889
8,39.8616666666667,-104.673166666667
9,41.7859722222222,-87.7524166666667
10,40.6399277777778,-73.7786925
11,33.9424963888889,-118.408048611111
12,38.9474444444444,-77.4599444444444
13,32.8972330555556,-97.0376947222222
14,35.21375,-80.9490555555556
15,35.8776388888889,-78.7874722222222
16,38.8514402777778,-77.0377213888889
17,40.77725,-73.8726111111111
18,26.0716666666667,-80.1496944444444
19,39.1757283333333,-76.6689911111111
20,41.4094069444444,-81.8546911111111
21,38.7486982222222,-90.3700257222222
22,42.2124444444445,-83.3533888888889
23,32.7335627777778,-117.189663333333
24,27.9754722222222,-82.53325
25,28.4293888888889,-81.309
26,41.9769402777778,-87.9081497222222
27,47.4498888888889,-122.311777777778
28,40.7883933333333,-111.977773333333
29,29.9844352777778,-95.3414425
30,40.6924798333333,-74.1686867777778
31,35.0424113888889,-89.9766791666667
32,44.8819722222222,-93.2217777777778
33,42.3629444444444,-71.0063888888889
34,33.4342777777778,-112.011583333333
